symbol,tf,signal,sl,tp,trades,wins,losses,open,winrate,netR,expectancyR
BTCUSDT,1d,rsi_sell,3,6,11,2,9,0,0.1818,-5.55,-0.5045
BTCUSDT,1d,div_bear,3,6,4,2,2,0,0.5000,1.80,0.4500
BTCUSDT,1d,rsi_buy,3,6,6,1,5,0,0.1667,-3.30,-0.5500
BTCUSDT,1d,div_bull,3,6,4,2,2,0,0.5000,1.80,0.4500
BTCUSDT,1d,rsi_sell,3,9,11,1,10,0,0.0909,-7.55,-0.6864
BTCUSDT,1d,div_bear,3,9,4,1,3,0,0.2500,-0.20,-0.0500
BTCUSDT,1d,rsi_buy,3,9,6,0,6,0,0.0000,-6.30,-1.0500
BTCUSDT,1d,div_bull,3,9,4,1,2,1,0.3333,0.85,0.2833
ETHUSDT,1h,rsi_sell,1,1,9,4,3,2,0.5714,-0.05,-0.0071
ETHUSDT,1h,rsi_buy,1,1,9,4,5,0,0.4444,-2.35,-0.2611
ETHUSDT,1h,div_bull,1,1,6,3,2,1,0.6000,0.25,0.0500
ETHUSDT,1h,div_bear,1,1,6,3,3,0,0.5000,-0.90,-0.1500
ETHUSDT,1h,rsi_sell,1,2,9,0,6,3,0.0000,-6.90,-1.1500
ETHUSDT,1h,rsi_buy,1,2,9,1,8,0,0.1111,-7.35,-0.8167
ETHUSDT,1h,div_bull,1,2,6,2,3,1,0.4000,0.25,0.0500
ETHUSDT,1h,div_bear,1,2,6,2,4,0,0.3333,-0.90,-0.1500
ETHUSDT,1h,rsi_sell,1,3,9,0,6,3,0.0000,-6.90,-1.1500
ETHUSDT,1h,rsi_buy,1,3,9,1,8,0,0.1111,-6.35,-0.7056
ETHUSDT,1h,div_bull,1,3,6,1,3,2,0.2500,-0.60,-0.1500
ETHUSDT,1h,div_bear,1,3,6,1,5,0,0.1667,-2.90,-0.4833
ETHUSDT,1h,rsi_sell,2,2,9,4,2,3,0.6667,1.55,0.2583
ETHUSDT,1h,rsi_buy,2,2,9,8,1,0,0.8889,6.32,0.7028
ETHUSDT,1h,div_bull,2,2,6,2,3,1,0.4000,-1.37,-0.2750
ETHUSDT,1h,div_bear,2,2,6,4,2,0,0.6667,1.55,0.2583
ETHUSDT,1h,rsi_sell,2,4,9,2,2,5,0.5000,1.70,0.4250
ETHUSDT,1h,rsi_buy,2,4,9,3,3,3,0.5000,2.55,0.4250
ETHUSDT,1h,div_bull,2,4,6,1,3,2,0.2500,-1.30,-0.3250
ETHUSDT,1h,div_bear,2,4,6,1,2,3,0.3333,-0.22,-0.0750
ETHUSDT,1h,rsi_sell,2,6,9,1,3,5,0.2500,-0.30,-0.0750
ETHUSDT,1h,rsi_buy,2,6,9,0,5,4,0.0000,-5.38,-1.0750
ETHUSDT,1h,div_bull,2,6,6,1,3,2,0.2500,-0.30,-0.0750
ETHUSDT,1h,div_bear,2,6,6,0,2,4,0.0000,-2.15,-1.0750
ETHUSDT,1h,rsi_sell,3,3,9,3,2,4,0.6000,0.75,0.1500
ETHUSDT,1h,rsi_buy,3,3,9,5,1,3,0.8333,3.70,0.6167
ETHUSDT,1h,div_bull,3,3,6,2,2,2,0.5000,-0.20,-0.0500
ETHUSDT,1h,div_bear,3,3,6,2,2,2,0.5000,-0.20,-0.0500
ETHUSDT,1h,rsi_sell,3,6,9,1,2,6,0.3333,-0.15,-0.0500
ETHUSDT,1h,rsi_buy,3,6,9,0,2,7,0.0000,-2.10,-1.0500
ETHUSDT,1h,div_bull,3,6,6,1,2,3,0.3333,-0.15,-0.0500
ETHUSDT,1h,div_bear,3,6,6,0,2,4,0.0000,-2.10,-1.0500
ETHUSDT,1h,rsi_sell,3,9,9,0,2,7,0.0000,-2.10,-1.0500
ETHUSDT,1h,rsi_buy,3,9,9,0,2,7,0.0000,-2.10,-1.0500
ETHUSDT,1h,div_bull,3,9,6,0,2,4,0.0000,-2.10,-1.0500
ETHUSDT,1h,div_bear,3,9,6,0,2,4,0.0000,-2.10,-1.0500
ETHUSDT,4h,rsi_sell,1,1,9,4,5,0,0.4444,-2.35,-0.2611
ETHUSDT,4h,div_bear,1,1,4,4,0,0,1.0000,3.40,0.8500
ETHUSDT,4h,div_bull,1,1,2,2,0,0,1.0000,1.70,0.8500
ETHUSDT,4h,rsi_buy,1,1,9,2,7,0,0.2222,-6.35,-0.7056
ETHUSDT,4h,rsi_sell,1,2,9,2,7,0,0.2222,-4.35,-0.4833
